experiment,lang,phoneme_pattern,syllable_alpha,binary_feature_control,n_syllables_per_word,n_words_per_lexicon,n_lexicons,n_streams_per_lexicon,tp_modes
ALPARC-DEU,deu,cV,0.05,True,3,4,21,10,"random,word_structured,position_controlled"
ALPARC-ENG,eng,cv,0.05,True,3,4,21,10,"random,word_structured,position_controlled"
ALPARC-RND,deu,cV,0.05,False,3,4,21,10,"random,word_structured,position_controlled"
BENCHMARK,—,—,—,—,3,4,21 (predefined),10,"random,word_structured,position_controlled"
ALPARC-DEU-3w,deu,cV,0.05,True,3,3,21,10,"word_structured,position_controlled"
ALPARC-DEU-5w,deu,cV,0.05,True,3,5,21,10,"word_structured,position_controlled"
ALPARC-DEU-2s,deu,cV,0.05,True,2,4,21,10,"word_structured,position_controlled"
ALPARC-DEU-4s,deu,cV,0.05,True,2,4,21,10,"word_structured,position_controlled"
