,trigram,frequency
248,aː_d_aː,828
249,z_ai_n,827
250,j_aː_g,826
251,a_t_ə,821
252,g_ɛ_s,820
253,eː_s_ɪ,819
254,h_aː_m,818
255,t_s_ai,817
256,h_a_s,817
257,f_a_l,810
258,ɔ_m_ə,806
259,n_t_ɛ,805
260,j_aː__p:_,804
261,eː_z_a,804
262,ai_n_t,804
263,ɪ_ç_k,803
264,s_uː_m,798
265,ŋ_ə_n,796
266,a_n_ɪ,795
267,ç_d_aː,793
268,n_j_aː,785
269,k_l_ɪ,785
270,ç_g_eː,781
271,ɐ_g_eː,776
272,aː_s_d,775
273,j_aː_j,774
274,t_t_s,772
275,s_t_s,770
276,d_ɪ_s,768
277,l_t_ə,765
278,ə_n_g,764
279,n_ɪ_s,762
280,a_n_s,762
281,oː_ɪ_ç,761
282,f_ɔ_ɐ,761
283,t_d_uː,751
284,ɔ_l_t,750
285,ɐ_d_iː,750
286,iː_l_ai,749
287,x_z_oː,747
288,ʊ_n_d,747
289,t_m_aː,745
290,eː_b_ə,743
291,n_b_ɪ,741
292,iː_d_ɐ,740
293,t_s_iː,738
294,ɐ_d_ə,736
295,a_n_h,729
296,n_d_r,727
297,r_aː_t,725
298,ɪ_ɐ_k,720
299,eː_g_ə,719
300,v_a_n,718
301,ɛ_k_t,718
302,ɐ_k_l,717
303,ç_au_ç,716
304,ɪ_ç__p:_,714
305,f_oː_ɐ,714
306,ɛ_n_s,712
307,aː_n_ʊ,712
308,yː_b_ɛ,710
309,t_eː_t,708
310,ç_d_a,705
311,s_t_eː,704
312,z_oː_f,700
313,ɐ_d_eː,700
314,ɔi_t_ə,695
315,d_iː_h,688
316,t_ɪ_s,687
317,l_ə_s,686
318,ɪ_ç_j,686
319,t_aː_k,685
320,p_r_oː,685
321,s_m_aː,678
322,v_ɛ_ɐ,676
323,oː_v_aː,676
324,z_aː_g,675
325,aː_p_ɪ,675
326,ʃ_t_ɪ,673
327,aː_n_d,670
328,r_ɪ_n,669
329,a_v_r,666
330,s_z_oː,663
331,n_oː_d,660
332,k_œ_n,660
333,b_ɛ_s,658
334,d_iː_d,657
335,ɪ_t_s,656
336,d_eː_r,656
337,n_v_ɪ,654
338,z_ɔ_n,653
339,n_v_aː,653
340,ə_n_a,652
341,t_ɪ_ɐ,651
342,ə_aː_n,649
343,v_aː_r,642
344,s_t_n,641
345,oː_n_d,641
346,ə_n_oː,641
347,d_a_x,641
348,ə_ɪ_ç,638
349,s_d_a,636
350,k_r_a,636
351,ə_n_n,636
352,z_ɔ_l,632
353,n_au_ç,632
354,ɛ_ŋ_k,632
355,t_m_ɪ,631
356,ɪ_ç_b,627
357,ɐ_b_ai,626
358,t_ɛ_l,625
359,n_ə_aː,623
360,a_x_z,623
361,ɐ_l_ɪ,621
362,t_ai_n,620
363,ɐ_a_l,619
364,h_ɪ_n,618
365,a_s_d,617
366,m_ɛ_n,614
367,t_s_eː,613
368,n_aː_b,612
369,ɪ_s_d,611
370,j_aː_n,610
371,aː_ɐ_d,610
372,g_ʊ_k,606
373,v_a_ɐ,605
374,b_ɐ_ɪ,603
375,t_v_ɛ,602
376,ɔ_x_m,600
377,b_ɛ_ɐ,599
378,aː_s_h,598
379,ai_s_n,596
380,aː_s_m,595
381,ç_m_ai,594
382,a_n_m,593
383,n_k_a,592
384,j_aː_v,592
385,n_z_ɪ,591
386,k_s_t,591
387,g_ɪ_p,591
388,t_ə_d,590
389,k_l_aː,589
390,s_eː_s,586
391,n_l_ɪ,586
392,n_aː_t,586
393,ɪ_p_t,586
394,ɐ_ɪ_s,585
395,l_ɛ_t,584
396,a_ŋ_ə,582
397,d_aː_m,580
398,v_ɔ_l,579
399,t_aː_b,579
400,t_ɛ_n,577
401,n_aː_j,576
402,eː_d_ə,572
403,p_iː_l,571
404,r_a_s,570
405,oː_n_eː,568
406,eː_t_s,568
407,ɐ_v_aː,564
408,n_t_h,562
409,aː_g_eː,560
410,j_eː_d,557
411,iː_z_oː,557
412,aː_n_ɪ,557
413,s_ai_t,553
414,ɛ_ɐ_l,550
415,x_m_aː,549
416,g_eː_f,549
417,ɔ_x_n,548
418,l_a_ŋ,548
419,g_r_aː,548
420,b_ai_d,547
421,g_eː_g,545
422,aː_s_g,544
423,a_t_s,544
424,s_d_iː,539
425,ɛ_ɐ_k,539
426,v_ɪ_l,532
427,n_ɪ_m,531
428,v_ɔ_x,528
429,ɪ_ɐ_t,528
430,aː_au_ç,528
431,aː_z_oː,526
432,n_eː_m,525
433,ɐ_m_aː,525
434,ai_t_ə,525
435,_p:__f_iː,525
436,ʃ_ai_n,524
437,l_aː_ɐ,522
438,f_aː_r,521
439,aː_d_ə,521
440,ɔ_m_t,519
441,ɔ_ɐ_t,519
442,n_v_ai,519
443,eː_s_v,518
444,ç_m_aː,518
445,a_ɐ_b,518
446,n_v_ɛ,515
447,n_t_aː,515
448,d_aː_h,514
449,ɐ_d_a,514
450,g_eː_r,512
451,ç_m_ɪ,511
452,b_ai_m,510
453,oː_t_s,509
454,n_m_ɪ,509
455,z_oː_t,507
456,s_t_a,507
457,n_ə_m,506
458,j_aː_au,504
459,s_ɛ_l,503
460,ɔ_n_t,503
461,n_ɪ_ɐ,503
462,a_n_v,503
463,ə_n_aː,501
464,b_ai_t,500
465,ʊ_n_s,499
466,t_a_n,498
467,d_r_ai,498
468,aː_t_d,498
469,s_t_m,496
470,s_eː_n,496
471,iː_h_aː,496
472,d_ɛ_n,496
473,g_eː_v,494
474,ɐ_h_a,494
475,v_iː_z,493
476,au_p_ɪ,493
477,n_t_t,492
478,ai_n_l,492
479,a_n_z,492
480,s_uː_z,491
481,ɪ_g_ə,491
482,l_ai_n,490
483,j_aː_aː,490
484,iː_r_ə,490
485,ɛ_l_ə,490
486,v_eː_g,489
487,ɪ_t_d,485
488,ai_n_ɐ,485
489,au_ç_ɪ,484
490,yː_b_ɐ,483
491,s_v_ɪ,483
492,t_z_ɪ,482
493,ɐ_t_ɪ,482
494,_p:__f_oː,482
495,aː_t_ɪ,481
496,s_t_r,478
497,j_oː_n,477
498,aː_j_aː,477
499,l_ɛ_ɐ,474
500,l_ə_m,474
501,aː_ɐ_ʃ,473
502,ŋ_t_l,470
503,v_oː_n,469
504,r_au_s,469
505,d_aː_v,468
506,t_uː_n,467
507,t_ɪ_n,467
508,ʃ_øː_n,467
509,n_d_ɪ,467
510,k_r_iː,467
511,ə_d_aː,467
512,ɐ_ʊ_n,466
513,ɐ_m_ɪ,466
514,ə_n__p:_,465
515,ɐ_au_ç,465
516,m_t_d,464
517,iː_b_ə,464
518,h_ɛ_t,464
519,r_ai_n,463
520,ɔ_x_ə,461
521,ə_n_b,461
522,d_ɪ_ç,460
523,aː_m_ɪ,460
524,s_t_aː,459
525,ɪ_ç_ʃ,459
526,ə_n_j,459
527,oː_n_ɪ,458
528,l_ɔi_t,458
529,eː_ɐ_d,458
530,l_t_d,457
531,aː_t_s,457
532,t_oː_d,456
533,z_oː_z,455
534,d_aː_f,455
535,ai_l_d,455
536,r_uː_m,453
537,g_eː_b,453
538,v_ɛ_l,452
539,s_d_eː,452
540,n_ɪ_n,452
541,au_ç_g,452
542,t_ʃ_oː,451
543,t_s_g,451
544,z_eː_h,449
545,t_s_d,449
546,r_au_ç,448
547,n_ɛ_ɐ,448
548,d_ʊ_ɐ,447
549,d_ɛ_ŋ,447
550,ɛ_t_ə,446
551,s_p_r,445
552,ɛ_ɐ_g,445
553,a_ŋ_eː,445
554,v_ʏ_ɐ,444
555,l_t_s,444
556,h_iː_ɐ,444
557,au_f_d,443
558,d_r_au,442
559,ç_h_a,442
560,r_ɛ_ç,441
561,j_aː_k,441
562,k_v_aː,440
563,ai_ŋ_t,440
564,r_au_f,439
565,s_m_a,438
566,ɛ_ɐ_z,437
567,t_z_iː,436
568,ɐ_t_ə,436
569,_p:__f_ɛ,436
570,z_ɛ_l,435
571,s_h_aː,435
572,ç_ɪ_m,433
573,ʊ_ɐ_ç,432
574,l_t_ɪ,432
575,k_ɛ_n,432
576,ɐ_ʊ_n,430
577,aː_aː_b,429
578,z_a_m,428
579,n_ʃ_t,427
580,s_t_v,426
581,n_uː_n,426
582,ɪ_ç_a,426
583,oː_d_iː,425
584,ɐ_ʃ_ai,425
585,ɐ_h_aː,425
586,n_eː_t,424
587,ʏ_n_f,422
588,t_v_ɪ,421
589,aː_z_iː,421
590,p_t_s,420
591,au_ç_z,419
592,ɪ_n_ɪ,418
593,g_ɛ_l,418
594,g_eː_l,418
595,eː_k_ɔ,417
596,d_ai_n,417
597,d_aː_n,417
598,z_a_x,416
599,ç_v_aː,416
600,oː_d_aː,415
601,f_iː_ɐ,415
602,d_iː_v,415
603,ɐ_v_ɛ,414
604,ə_t_s,413
605,a_x_d,413
606,f_ʏ_n,412
607,s_t_ɐ,410
608,ɪ_ʃ_ə,410
609,d_r_ɪ,410
610,aː_v_aː,410
611,ɛ_ɐ_f,409
612,au_ç_d,409
613,r_a_k,408
614,ai_s_ɪ,408
615,s_ɪ_m,407
616,s_ai_n,407
617,ɔ_n_s,407
618,eː_n_ə,407
619,ç_ʃ_oː,407
620,ç_n_ɔ,405
621,ɐ_j_aː,405
622,z_oː_k,404
623,ç_t_m,404
624,s_t_h,403
625,a_s_ə,403
626,eː_z_ə,402
627,t_v_ai,401
628,t_j_ɛ,401
629,m_ʏ_s,401
630,ɛ_n_ɪ,401
631,n_ɛ_n,400
632,ə_n_ʃ,399
633,d_aː_d,399
634,s_ʃ_oː,398
635,n_m_ʊ,397
636,l_au_b,397
637,d_ɪ_ŋ,395
638,x_n_ɪ,394
639,ɛ_s_ə,394
640,d_ɪ_ɐ,394
641,a_n_f,394
642,ə_n_au,393
643,ç_s_t,392
644,s_a_l,391
645,m_ɪ_n,391
646,ɪ_s_j,391
647,s_t_j,390
648,ŋ_k_ə,390
649,ɛ_ɐ_v,390
650,ʃ_ə_n,389
651,m_l_ɪ,389
652,ai_l_ɪ,388
653,n_v_iː,387
654,ə_g_eː,387
655,ç_d_iː,387
656,s_m_ɪ,386
657,eː_ɐ_v,386
658,n_t_eː,385
659,k_ɔ_n,385
660,aː_s_z,385
661,t_eː_r,384
662,ʊ_k_ə,383
663,t_j_oː,383
664,r_ʊ_n,383
665,ɛ_ç_s,383
666,n_n_ɪ,382
667,m_ɛ_ɐ,382
668,ɛ_ɐ_d,382
669,ə_n_uː,381
670,eː_g_a,381
671,ç_b_ɪ,380
672,au_f_g,379
673,x_t_s,378
674,t_ɛ_s,378
675,oː_m_ɪ,378
676,j_t_s,378
677,d_iː_g,378
678,aː_l_g,378
679,aː_ɐ_ɪ,378
680,oː_n_t,377
681,aː_h_a,377
682,s_j_ɛ,376
683,j_aː_ʃ,376
684,ə_d_iː,376
685,aː_t_z,376
686,z_oː_m,375
687,f_r_ɔi,375
688,d_aː_ɪ,375
689,ʃ_r_ai,372
690,aː_m_a,372
691,œ_n_t,371
692,ç_t_d,371
693,ʊ_ɐ_t,370
694,n_a_n,370
695,d_aː_t,370
696,a_n_k,370
697,r_ɛ_s,369
698,eː_ɐ_h,369
699,au_b_ə,369
700,ɪ_ɐ_d,368
701,eː_s_g,368
702,eː_ɐ_ɪ,367
703,n_t_r,366
704,d_ɛ_z,366
705,ai_n_s,366
706,n_t_j,365
707,aː_s_f,365
708,s_p_iː,364
709,ʃ_t_ʊ,363
710,n_m_a,363
711,ə_m_ɪ,363
712,d_ə_m,363
713,n_t_m,362
714,s_ɛ_n,361
715,l_t_n,361
716,t_ə_m,360
717,a_s_ɪ,359
718,g_l_ai,358
719,f_a_ŋ,358
720,eː_r_ɛ,358
721,ai_n_m,358
722,v_ɛː_ɐ,357
723,k_l_ai,357
724,g_ɛ_ɐ,357
725,t_v_oː,356
726,r_oː_b,356
727,ɔ_x_d,356
728,t_ɪ_ʃ,355
729,ɔ_ɐ_g,355
730,n_f_ɛ,355
731,ʊ_ŋ_k,354
732,au_f_ə,354
733,ai_z_ə,354
734,z_oː_ʃ,353
735,k_t_ɪ,353
736,k_au_f,353
737,eː_r_aː,353
738,ç_a_l,353
739,_p:__f_r,353
740,t_v_a,352
741,n_k_ɔ,352
742,t_ɪ_k,351
743,t_d_r,351
744,p_a_s,351
745,b_ɛ_n,351
746,t_ə_s,350
747,r_iː_k,350
748,ŋ_k_t,350
749,h_ɔi_t,350
750,ɛ_s_p,350
751,au_f_j,350
752,a_n_n,350
753,l_t_au,349
754,l_a_s,349
755,ɐ_ai_n,349
756,n_t_n,347
757,d_ɐ_v,347
758,z_oː_ai,346
759,n_t_a,346
760,ɐ_v_ai,346
761,j_aː_a,345
762,eː_n_ɪ,345
763,iː_d_iː,344
764,t_n_eː,343
765,f_j_eː,343
766,d_iː_m,342
767,d_iː_ɪ,342
768,x_t_ə,341
769,t_ʏ_ɐ,341
770,t_n_ɔ,341
771,t__p:__z,341
772,oː_n_z,341
773,aː_d_a,341
774,ç_j_aː,340
775,aː_s_n,340
776,z_eː_ɐ,339
777,h_ai_s,339
778,eː_m_ai,339
779,ç_t_g,339
780,t_r_ɛ,338
781,t_eː_s,338
782,eː_m_ɛ,338
783,aː_d_iː,338
784,t_s_aː,337
785,n_ɛ_ç,336
786,iː_g_eː,336
787,a_n_ʃ,336
788,ɔ_ɐ_m,335
789,j_aː_z,335
790,d_aː_g,335
791,ɐ_ɪ_ɐ,335
792,ɐ_g_ə,335
793,t_ɪ_f,334
794,r_aː_g,334
795,r_aː_d,334
796,l_ç_ə,334
797,iː_d_aː,334
798,f_r_aː,334
799,aː_ɪ_s,334
800,ai_n_d,333
801,z_ʊ_x,331
802,s_ʊ_n,331
803,oː_n_m,331
804,d_iː_k,331
805,aː_s_k,331
806,l_au_f,329
807,t_ə_ɪ,328
808,ə_f_r,328
809,ç_t_ə,328
810,aː_t_ʏ,328
811,ʏ_ɐ_l,327
812,n_z_eː,326
813,ɪ_ç_aː,326
814,eː_r_ɪ,326
815,ʃ_t_a,325
816,ə_ʊ_n,325
817,t_s_n,324
818,oː_j_aː,324
819,n_n_ɔ,324
820,ɛ_ʃ_r,324
821,ɐ_n_ɔ,324
822,aː_d_eː,324
823,oː_ai_n,323
824,z_ai_t,322
825,aː_oː_k,322
826,s_ʃ_t,321
827,l_t_ɛ,321
828,d_uː_d,321
829,ç_t_z,321
830,ç_h_p,321
831,s_ɛ_ç,320
832,uː_t_ə,319
833,ə_ʊ_n,319
834,s_z_iː,319
835,n_z_iː,319
836,k_ɪ_n,319
837,s_t_au,318
838,oː_v_iː,318
839,ɛ_z_v,318
840,r_ɛ_k,317
841,aː_t_j,317
842,n_z_ɔ,316
843,n_n_eː,316
844,f_a_n,316
845,ɛ_n_z,316
846,a_p_t,316
847,oː_f_iː,315
848,ɛ_k_s,315
849,eː_ɐ_g,315
850,n_t_f,314
851,g_ɔ_t,314
852,d_aː_b,314
853,au_ç_m,314
854,a_x_n,314
855,l_d_aː,313
856,d_eː_t,313
857,au_s_g,313
858,r_ɪ_ŋ,312
859,p_r_ɪ,312
860,s_a_n,311
861,r_iː_b,311
862,n_au_f,311
863,oː_n_ə,310
864,j_aː_m,310
865,aː_g_uː,310
866,a_n_au,310
867,v_aː_z,309
868,ɛ_ɐ_ʃ,309
869,z_oː_j,308
870,t_r_ɪ,308
871,d_iː_n,308
872,aː_ʊ_n,308
873,t_r_ɔ,307
874,ʃ_t_uː,307
875,eː_ɐ_z,307
876,ai_n_ɪ,307
877,r_a_n,306
878,œ_ɐ_t,306
879,l_s_t,306
880,au_p_t,305
881,t_a_t,304
882,h_a_p,304
883,aː_b_ɛ,304
884,v_ai_z,303
885,ɪ_s_ɪ,303
886,œ_n_ə,302
887,n_d_uː,302
888,ɛ_l_ç,302
889,z_ə_s,301
890,s_ɪ_ɐ,301
891,n_eː_d,301
892,ç_t_n,301
893,ʊ_ŋ_ə,300
894,s_ɛ_ɐ,300
895,ɐ_n_ə,300
896,ʃ_r_iː,299
897,oː_n_g,299
898,iː_h_a,299
899,ɐ_n_eː,299
900,v_ɪ_t,298
901,l_ʊ_s,298
902,l_ɛ_k,298
903,t_au_f,297
904,l_g_eː,297
905,aː_l_d,297
906,n_v_r,296
907,n_f_oː,296
908,ɛ_l_n,296
909,t_r_aː,295
910,ç_j_ɛ,295
911,z_v_eː,294
912,z_iː_d,293
913,oː_t_r,293
914,ç_ɪ_n,293
915,aː_f_oː,293
916,s_t_z,292
917,n_j_ɛ,292
918,l_eː_z,292
919,ɪ_s_h,292
920,t_eː_ɐ,291
921,oː_d_eː,291
922,ç_ai_n,291
923,ç__p:__z,291
924,n_eː_n,290
925,ɐ_n_eː,289
926,t_ʊ_ŋ,289
927,t_ə_v,289
