,syllable,position,frequency_pos,frequency,pval_uniform
13535,s_ɒ_k_s,1,16,16,0.9318059948023432
13536,s_ɒ_k_s,2,0,16,0.9318059948023432
13537,s_ɒ_k_s,3,0,16,0.9318059948023432
13538,s_ɒ_l,1,15,19,0.846326651164806
13539,s_ɒ_l,2,0,19,0.846326651164806
13540,s_ɒ_l,3,4,19,0.846326651164806
13541,s_ɒ_l_v,1,24,24,0.7301252296475932
13542,s_ɒ_l_v_d,1,20,20,0.8208130603464577
13543,s_ɒ_l_v_z,1,2,2,0.0338673693563189
13544,s_ɒ_l_z,1,0,2,0.0338673693563189
13545,s_ɒ_l_z,3,2,2,0.0338673693563189
13546,s_ɒ_m,1,7,8,0.7234184599172108
13547,s_ɒ_m,2,1,8,0.7234184599172108
13548,s_ɒ_m,3,0,8,0.7234184599172108
13549,s_ɒ_n,1,0,1,0.0
13550,s_ɒ_n,2,1,1,0.0
13551,s_ɒ_n,6,0,1,0.0
13552,s_ʊ,1,60,60,0.2743567499112618
13553,s_ʊ,2,0,60,0.2743567499112618
13554,s_ʊ_t,1,2,2,0.0338673693563189
13555,s_ʌ,1,843,855,0.0
13556,s_ʌ,2,10,855,0.0
13557,s_ʌ,3,2,855,0.0
13558,s_ʌ,5,0,855,0.0
13559,s_ʌ_ɲ,1,942,942,0.0
13560,s_ʌ_ɲ,2,0,942,0.0
13561,s_ʌ_ɲ,3,0,942,0.0
13562,s_ʌ_ŋ,1,9,10,0.8344113943730964
13563,s_ʌ_ŋ,2,1,10,0.8344113943730964
13564,s_ʌ_ŋ_k,1,11,11,0.881819246751963
13565,s_ʌ_ŋ_k,3,0,11,0.881819246751963
13566,s_ʌ_b,1,411,411,0.0
13567,s_ʌ_b_z,1,1,1,0.0
13568,s_ʌ_d_z,1,1,1,0.0
13569,s_ʌ_d_z,2,0,1,0.0
13570,s_ʌ_k,1,11,11,0.881819246751963
13571,s_ʌ_k_s,1,2,2,0.0338673693563189
13572,s_ʌ_k_t,1,10,10,0.8344113943730964
13573,s_ʌ_l,1,20,67,0.2194689675642295
13574,s_ʌ_l,2,47,67,0.2194689675642295
13575,s_ʌ_l_k_s,1,1,1,0.0
13576,s_ʌ_l_t,2,29,29,0.6359951293669748
13577,s_ʌ_l_t_s,2,7,7,0.6569991481240273
13578,s_ʌ_m,1,3476,3476,0.0
13579,s_ʌ_m_p,1,3,76,0.1567755606039138
13580,s_ʌ_m_p,2,73,76,0.1567755606039138
13581,s_ʌ_m_p,5,0,76,0.1567755606039138
13582,s_ʌ_m_z,1,17,17,0.9016509460184804
13583,s_ʌ_n,1,475,482,0.0
13584,s_ʌ_n,2,7,482,0.0
13585,s_ʌ_n,3,0,482,0.0
13586,s_ʌ_n,4,0,482,0.0
13587,s_ʌ_n,6,0,482,0.0
13588,s_ʌ_n_z,1,48,49,0.3750935278278183
13589,s_ʌ_n_z,2,1,49,0.3750935278278183
13590,s_ʌ_n_z,4,0,49,0.3750935278278183
13591,s_ʌ_t,1,5,5,0.4896358490926503
13592,s_f_ɪə_ɜ˞,1,14,74,0.1700405058959051
13593,s_f_ɪə_ɜ˞,3,60,74,0.1700405058959051
13594,s_f_ɪə_z,1,6,9,0.7820044449462648
13595,s_f_ɪə_z,3,3,9,0.7820044449462648
13596,s_f_ɛ,1,2,2,0.0338673693563189
13597,s_f_ɪ_ŋ_k,1,1,1,0.0
13598,s_f_ɪ_ŋ_k_s,1,1,1,0.0
13599,s_f_æ_ɡ,1,1,1,0.0
